filename,title,description,heading,location,service
sacramento-firewatch-apartments,Firewatch in Sacramento,Firewatch for apartments in Sacramento.,Firewatch,Sacramento,Firewatch
roseville-patrol-retail,Patrol in Roseville,Patrol for retail in Roseville.,Patrol,Roseville,Patrol
